COD_PLAN,AVANCE_CARRERA,COD_ACCESO,COD_SUBACCESO,CONVOCATORIA,APERTURA,T_DOCUMENTO,GENERO,EDAD,NUMERO_MATRICULAS,PAPA,PROME_ACADE,PBM_CALCULADO,ESTRATO,COD_DEPTO_RESIDENCIA,COD_MUN_RESIDENCIA,COD_PROVINCIA,COD_MINICIPIO,COD_NACIONALIDAD,VICTIMAS_DEL_CONFLICTO,DISCAPACIDAD,CARACTER_COLEGIO,PUNTAJE_ADMISION
L003,82.3,1,29,2020-1S,2020-1S,NUMERO DE CEDULA,HOMBRE,20,9.0,4.3,4.3,8,2,20.0,621.0,20.0,621.0,170,0,NO,Plantel Oficial,
L003,73.8,1,29,2020-1S,2020-1S,NUMERO DE CEDULA,HOMBRE,23,9.0,4.2,4.2,4,1,,,54.0,245.0,170,0,NO,Plantel Oficial,
L003,91.5,1,29,2019-2S,2019-2S,NUMERO DE CEDULA,MUJER,22,10.0,4.2,4.2,1,1,20.0,621.0,20.0,250.0,170,0,NO,Plantel Oficial,
L005,72.3,1,29,2019-2S,2019-2S,NUMERO DE CEDULA,MUJER,23,10.0,3.8,3.9,5,2,20.0,1.0,20.0,1.0,170,0,NO,Plantel Oficial,
L001,78.8,1,29,2019-2S,2019-2S,NUMERO DE CEDULA,HOMBRE,22,10.0,4.2,4.2,26,4,,,20.0,1.0,170,0,NO,Plantel Privado,
L006,75.3,1,29,2019-2S,2019-2S,NUMERO DE CEDULA,HOMBRE,22,10.0,4.0,4.1,2,1,20.0,1.0,20.0,1.0,170,0,NO,Plantel Privado,
L005,28.8,1,29,2020-1S,2020-1S,NUMERO DE CEDULA,HOMBRE,21,8.0,3.2,3.2,19,1,,,20.0,621.0,170,0,NO,Plantel Oficial,
L003,93.6,1,29,2020-1S,2020-1S,NUMERO DE CEDULA,HOMBRE,28,9.0,4.2,4.2,2,1,,,20.0,750.0,170,0,NO,Plantel Oficial,
L004,53.3,1,29,2019-2S,2019-2S,NUMERO DE CEDULA,MUJER,23,9.0,3.9,3.9,3,1,20.0,621.0,20.0,621.0,170,0,NO,Plantel Oficial,
L001,65.4,1,29,2019-2S,2019-2S,NUMERO DE CEDULA,MUJER,21,10.0,3.8,3.8,3,1,20.0,621.0,20.0,175.0,170,0,NO,Plantel Oficial,
L002,85.8,1,29,2019-2S,2019-2S,NUMERO DE CEDULA,HOMBRE,21,10.0,3.9,4.0,1,1,20.0,13.0,20.0,13.0,170,0,NO,Plantel Oficial,
L004,68.7,1,29,2020-1S,2020-1S,TARJETA IDENTIDAD,MUJER,21,9.0,4.2,4.2,26,3,,,11.0,1.0,170,0,NO,Plantel Oficial,
L006,79.1,1,29,2020-1S,2020-1S,NUMERO DE CEDULA,HOMBRE,32,9.0,4.1,4.1,11,2,,,20.0,1.0,170,0,NO,Plantel Oficial,
L002,45.2,1,29,2020-1S,2020-1S,NUMERO DE CEDULA,HOMBRE,27,9.0,3.7,3.8,5,2,,,20.0,1.0,170,0,NO,Plantel Oficial,
L002,51.6,1,29,2020-1S,2020-1S,NUMERO DE CEDULA,HOMBRE,27,9.0,3.5,3.5,28,2,,,20.0,1.0,170,0,NO,Plantel Oficial,
L006,58.8,1,29,2020-1S,2020-1S,NUMERO DE CEDULA,HOMBRE,27,9.0,4.2,4.2,6,2,,,20.0,1.0,170,0,NO,Plantel Oficial,
L002,63.9,1,29,2020-1S,2020-1S,NUMERO DE CEDULA,HOMBRE,22,9.0,3.8,3.8,1,1,,,11.0,1.0,170,0,NO,Plantel Oficial,
L006,62.6,1,29,2020-1S,2020-1S,NUMERO DE CEDULA,HOMBRE,21,9.0,4.7,4.7,8,2,,,17.0,1.0,170,0,NO,Plantel Oficial,
L005,72.3,1,29,2020-1S,2020-1S,NUMERO DE CEDULA,MUJER,21,9.0,4.2,4.2,10,3,,,20.0,1.0,170,0,NO,Plantel Oficial,
L003,68.1,1,29,2020-1S,2020-1S,NUMERO DE CEDULA,MUJER,28,9.0,4.2,4.3,2,1,20.0,621.0,20.0,621.0,170,0,NO,Plantel Oficial,
L004,85.3,1,29,2019-2S,2019-2S,NUMERO DE CEDULA,MUJER,32,10.0,4.5,4.5,1,0,,,20.0,1.0,170,0,NO,Plantel Oficial,
L006,53.8,1,29,2020-1S,2020-1S,NUMERO DE CEDULA,HOMBRE,21,9.0,3.8,3.9,7,2,,,20.0,1.0,170,0,NO,Plantel Oficial,
L005,54.8,1,29,2019-2S,2019-2S,NUMERO DE CEDULA,HOMBRE,28,10.0,3.4,3.5,4,1,20.0,1.0,44.0,855.0,170,0,NO,Plantel Oficial,
L001,62.6,1,29,2019-2S,2019-2S,NUMERO DE CEDULA,MUJER,27,10.0,4.4,4.4,6,0,20.0,1.0,20.0,1.0,170,0,NO,Plantel Oficial,
L003,76.6,1,29,2019-2S,2019-2S,NUMERO DE CEDULA,HOMBRE,22,9.0,4.1,4.1,15,3,20.0,621.0,20.0,1.0,170,0,NO,Plantel Oficial,
L006,62.1,1,29,2019-2S,2019-2S,NUMERO DE CEDULA,HOMBRE,24,10.0,4.0,4.0,2,1,20.0,621.0,20.0,1.0,170,0,NO,Plantel Oficial,
L004,75.3,1,29,2019-2S,2019-2S,NUMERO DE CEDULA,MUJER,22,10.0,4.3,4.3,21,2,20.0,1.0,20.0,1.0,170,0,NO,Plantel Privado,
L005,32.2,1,29,2022-1S,2022-1S,NUMERO DE CEDULA,HOMBRE,19,5.0,3.8,3.8,48,1,,,47.0,545.0,170,0,NO,Plantel Privado,595.87
L001,26.8,1,29,2022-1S,2022-1S,TARJETA IDENTIDAD,HOMBRE,18,5.0,3.5,3.5,22,3,,,20.0,1.0,170,0,NO,Plantel Oficial,496.87
L001,20.1,1,29,2022-1S,2022-1S,NUMERO DE CEDULA,MUJER,30,5.0,3.3,3.3,4,2,44.0,874.0,44.0,874.0,170,0,NO,Plantel Oficial,390.72
L002,23.9,1,29,2022-1S,2022-1S,NUMERO DE CEDULA,HOMBRE,22,5.0,3.6,3.7,4,2,20.0,1.0,47.0,545.0,170,0,NO,Plantel Oficial,360.82
L005,24.3,1,29,2022-1S,2022-1S,NUMERO DE CEDULA,HOMBRE,20,5.0,3.5,3.5,1,1,,,20.0,1.0,170,0,NO,Plantel Oficial,484.03
L005,20.3,1,29,2022-1S,2022-1S,NUMERO DE CEDULA,HOMBRE,18,5.0,3.5,3.5,7,2,,,20.0,621.0,170,0,NO,Plantel Oficial,590.07
L001,24.6,1,29,2022-1S,2022-1S,NUMERO DE CEDULA,MUJER,18,5.0,3.7,3.7,2,1,,,20.0,1.0,170,0,NO,Plantel Oficial,435.09
L003,34.0,1,29,2022-1S,2022-1S,NUMERO DE CEDULA,MUJER,21,5.0,4.2,4.2,1,1,,,20.0,1.0,170,0,NO,Plantel Oficial,328.65
L003,31.9,1,29,2022-1S,2022-1S,NUMERO DE CEDULA,MUJER,20,5.0,4.0,4.0,1,1,20.0,443.0,20.0,443.0,170,0,NO,Plantel Oficial,407.83
L003,31.2,1,29,2022-1S,2022-1S,NUMERO DE CEDULA,MUJER,20,5.0,3.7,3.9,33,7,,,20.0,310.0,170,0,NO,Plantel Oficial,375.2
L001,24.0,1,29,2022-1S,2022-1S,NUMERO DE CEDULA,HOMBRE,22,5.0,3.6,3.6,5,2,20.0,1.0,20.0,1.0,170,0,NO,Plantel Oficial,423.23
L003,29.8,1,29,2022-1S,2022-1S,NUMERO DE CEDULA,MUJER,35,5.0,4.0,4.2,2,1,,,20.0,621.0,170,0,NO,Plantel Oficial,418.22
L004,16.7,1,29,2022-1S,2022-1S,TARJETA IDENTIDAD,HOMBRE,20,5.0,3.2,3.2,1,1,20.0,621.0,20.0,60.0,170,0,NO,Plantel Oficial,451.01
L004,22.0,1,29,2022-1S,2022-1S,NUMERO DE CEDULA,MUJER,20,5.0,3.5,3.5,10,1,20.0,1.0,47.0,58.0,170,0,NO,Plantel Oficial,437.04
L001,28.5,1,29,2022-1S,2022-1S,NUMERO DE CEDULA,MUJER,19,5.0,3.8,3.8,1,1,20.0,750.0,20.0,1.0,170,0,NO,Plantel Oficial,389.2
L005,9.6,1,29,2022-1S,2022-1S,NUMERO DE CEDULA,HOMBRE,19,5.0,3.1,3.4,2,1,,,20.0,175.0,170,0,NO,Nocturno,417.99
L004,26.7,1,29,2022-1S,2022-1S,NUMERO DE CEDULA,MUJER,19,5.0,3.9,3.9,38,1,,,20.0,1.0,170,0,NO,Plantel Oficial,395.34
L003,34.0,1,29,2022-1S,2022-1S,NUMERO DE CEDULA,HOMBRE,19,5.0,4.0,4.0,1,1,,,25.0,817.0,170,0,NO,Plantel Oficial,453.07
L005,67.8,1,29,2020-1S,2020-1S,NUMERO DE CEDULA,MUJER,21,9.0,4.2,4.2,7,1,,,47.0,58.0,170,0,NO,Plantel Privado,544.78
L004,50.7,1,29,2021-1S,2021-1S,NUMERO DE CEDULA,MUJER,21,7.0,4.2,4.2,34,1,20.0,1.0,20.0,1.0,170,0,NO,Plantel Oficial,548.65
L002,56.1,1,29,2021-1S,2021-1S,NUMERO DE CEDULA,MUJER,19,7.0,4.3,4.3,5,0,20.0,621.0,20.0,1.0,170,0,NO,Plantel Oficial,483.53
L006,45.6,1,29,2021-1S,2021-1S,NUMERO DE CEDULA,HOMBRE,19,7.0,3.9,3.9,5,2,,,20.0,1.0,170,0,NO,Plantel Oficial,604.92
L002,45.2,1,29,2021-1S,2021-1S,NUMERO DE CEDULA,HOMBRE,19,7.0,3.8,3.9,6,2,,,47.0,245.0,170,0,NO,Plantel Oficial,454.71
L001,34.6,1,29,2021-1S,2021-1S,NUMERO DE CEDULA,MUJER,23,7.0,4.1,4.1,3,1,,,20.0,1.0,170,0,NO,Plantel Oficial,470.69
L002,35.5,1,29,2021-1S,2021-1S,NUMERO DE CEDULA,MUJER,24,7.0,3.5,3.5,5,2,,,20.0,750.0,170,0,NO,Plantel Oficial,340.64
L002,56.1,1,29,2021-1S,2021-1S,NUMERO DE CEDULA,HOMBRE,22,7.0,4.1,4.1,2,1,20.0,228.0,20.0,228.0,170,0,NO,Plantel Oficial,311.69
L004,48.7,1,29,2021-1S,2021-1S,NUMERO DE CEDULA,MUJER,22,7.0,4.2,4.2,13,1,,,20.0,621.0,170,0,NO,Plantel Oficial,490.0
L001,43.0,1,29,2021-1S,2021-1S,NUMERO DE CEDULA,HOMBRE,21,7.0,3.7,3.9,3,1,20.0,750.0,13.0,836.0,170,0,NO,Plantel Oficial,488.2
L001,49.7,1,29,2021-1S,2021-1S,NUMERO DE CEDULA,HOMBRE,19,7.0,4.1,4.1,6,2,,,20.0,60.0,170,0,NO,Plantel Privado,460.51
L001,65.4,1,29,2020-2S,2020-2S,NUMERO DE CEDULA,MUJER,22,8.0,4.1,4.1,5,1,20.0,13.0,20.0,178.0,170,0,NO,Plantel Oficial,
L004,59.3,1,29,2020-2S,2020-2S,NUMERO DE CEDULA,HOMBRE,20,7.0,4.7,4.7,6,1,,,20.0,11.0,170,0,NO,Plantel Oficial,530.0
L001,57.0,1,29,2020-2S,2020-2S,NUMERO DE CEDULA,MUJER,20,8.0,4.2,4.2,4,1,,,20.0,1.0,170,0,NO,Plantel Oficial,506.15
L003,38.3,1,29,2020-2S,2020-2S,NUMERO DE CEDULA,MUJER,22,8.0,3.6,3.7,2,0,,,20.0,1.0,170,0,NO,Plantel Oficial,
L004,62.7,1,29,2020-2S,2020-2S,NUMERO DE CEDULA,MUJER,20,8.0,4.2,4.2,1,1,,,20.0,13.0,170,0,NO,Plantel Oficial,446.92
L003,70.2,1,29,2020-2S,2020-2S,NUMERO DE CEDULA,HOMBRE,20,8.0,4.1,4.1,2,0,20.0,13.0,20.0,13.0,170,0,NO,Plantel Oficial,
L006,28.6,1,29,2020-2S,2020-2S,NUMERO DE CEDULA,HOMBRE,21,8.0,3.5,3.6,2,1,20.0,1.0,20.0,60.0,170,0,NO,Plantel Oficial,
L001,59.8,1,29,2020-2S,2020-2S,NUMERO DE CEDULA,MUJER,22,8.0,4.1,4.1,1,1,,,20.0,228.0,170,0,NO,Plantel Oficial,
L003,61.7,1,29,2020-2S,2020-2S,NUMERO DE CEDULA,HOMBRE,27,8.0,4.2,4.2,2,1,,,20.0,443.0,170,0,NO,Plantel Oficial,
L005,55.4,1,29,2020-2S,2020-2S,NUMERO DE CEDULA,MUJER,19,8.0,4.4,4.4,6,1,,,20.0,1.0,170,0,NO,Plantel Oficial,608.46
L004,59.3,1,29,2020-2S,2020-2S,NUMERO DE CEDULA,MUJER,21,8.0,4.2,4.2,2,1,20.0,443.0,20.0,621.0,170,0,NO,Plantel Oficial,
L005,41.8,1,29,2020-2S,2020-2S,NUMERO DE CEDULA,HOMBRE,25,8.0,4.0,4.0,52,7,,,20.0,228.0,170,0,NO,Plantel Oficial,
L005,26.0,1,29,2021-2S,2021-2S,NUMERO DE CEDULA,MUJER,20,6.0,3.7,3.7,1,1,20.0,621.0,20.0,1.0,170,0,NO,Plantel Oficial,454.75
L001,41.3,1,29,2021-2S,2021-2S,NUMERO DE CEDULA,MUJER,20,6.0,4.3,4.3,11,2,20.0,1.0,20.0,1.0,170,0,NO,Plantel Oficial,530.87
L005,26.0,1,29,2021-2S,2021-2S,NUMERO DE CEDULA,MUJER,27,6.0,4.0,4.0,1,1,20.0,443.0,20.0,400.0,170,0,NO,Plantel Oficial,406.4
L003,38.3,1,29,2021-2S,2021-2S,NUMERO DE CEDULA,HOMBRE,26,6.0,3.9,3.9,8,1,,,20.0,1.0,170,0,NO,Plantel Oficial,351.27
L001,38.5,1,29,2021-2S,2021-2S,NUMERO DE CEDULA,MUJER,19,6.0,4.2,4.2,1,1,,,20.0,1.0,170,0,NO,Plantel Oficial,460.64
L006,22.5,1,29,2021-2S,2021-2S,TARJETA IDENTIDAD,HOMBRE,19,6.0,3.6,3.7,5,1,,,20.0,787.0,170,0,NO,Plantel Oficial,477.64
L005,32.2,1,29,2021-2S,2021-2S,NUMERO DE CEDULA,MUJER,20,6.0,4.1,4.1,24,2,,,5.0,1.0,170,0,NO,Plantel Privado,530.3
L003,42.6,1,29,2021-2S,2021-2S,NUMERO DE CEDULA,HOMBRE,22,6.0,4.0,4.0,7,1,,,20.0,750.0,170,0,NO,Nocturno,253.68
L005,15.3,1,29,2021-2S,2021-2S,NUMERO DE CEDULA,HOMBRE,21,6.0,2.9,2.9,5,1,,,20.0,750.0,170,0,NO,Plantel Oficial,450.71
L005,39.0,1,29,2021-2S,2021-2S,TARJETA IDENTIDAD,MUJER,20,6.0,4.0,4.1,6,2,,,20.0,13.0,170,0,NO,Plantel Oficial,451.19
L001,17.9,1,29,2022-2S,2022-2S,NUMERO DE CEDULA,MUJER,23,4.0,3.9,3.9,1,1,,,20.0,621.0,170,0,NO,Plantel Oficial,387.178
L003,22.0,1,29,2022-2S,2022-2S,NUMERO DE CEDULA,MUJER,19,4.0,3.9,3.9,8,2,20.0,443.0,20.0,621.0,170,0,NO,Plantel Oficial,446.674
L006,20.9,1,29,2022-2S,2022-2S,NUMERO DE CEDULA,HOMBRE,19,4.0,3.6,3.7,10,2,,,20.0,1.0,170,0,NO,Plantel Oficial,521.69
L006,20.9,1,29,2022-2S,2022-2S,NUMERO DE CEDULA,HOMBRE,19,4.0,4.2,4.2,4,2,20.0,1.0,20.0,1.0,170,0,NO,Plantel Oficial,535.741
L005,16.4,1,29,2022-2S,2022-2S,NUMERO DE CEDULA,HOMBRE,19,4.0,3.5,3.5,31,3,20.0,1.0,76.0,1.0,170,0,NO,Plantel Privado,515.535
L005,17.5,1,29,2022-2S,2022-2S,NUMERO DE CEDULA,MUJER,21,4.0,4.4,4.4,3,1,,,20.0,1.0,170,0,NO,Plantel Oficial,581.564
L005,15.8,1,29,2022-2S,2022-2S,NUMERO DE CEDULA,HOMBRE,19,4.0,3.7,3.7,14,2,20.0,1.0,20.0,1.0,170,0,NO,Plantel Oficial,467.365
L006,20.9,1,29,2022-2S,2022-2S,NUMERO DE CEDULA,HOMBRE,18,4.0,4.2,4.2,25,3,,,68.0,1.0,170,0,NO,Plantel Oficial,503.61
L002,11.6,1,29,2022-2S,2022-2S,NUMERO DE CEDULA,MUJER,21,4.0,3.7,3.7,5,2,20.0,1.0,20.0,1.0,170,0,NO,Plantel Oficial,444.233
L006,7.1,1,29,2022-2S,2022-2S,NUMERO DE CEDULA,HOMBRE,21,3.0,4.6,4.6,3,1,20.0,1.0,20.0,1.0,170,0,NO,Plantel Oficial,538.532
L004,20.0,1,29,2022-2S,2022-2S,NUMERO DE CEDULA,HOMBRE,21,4.0,4.2,4.2,8,2,,,20.0,1.0,170,0,NO,Plantel Oficial,358.762
L005,22.0,1,29,2022-2S,2022-2S,NUMERO DE CEDULA,HOMBRE,18,4.0,4.4,4.4,3,1,20.0,1.0,20.0,1.0,170,0,NO,Plantel Oficial,570.993
L006,3.8,1,29,2022-2S,2023-1S,NUMERO DE CEDULA,HOMBRE,21,2.0,3.5,3.5,9,1,,,47.0,1.0,170,0,NO,Plantel Oficial,502.507
L004,20.0,1,29,2022-2S,2022-2S,NUMERO DE CEDULA,HOMBRE,19,4.0,4.3,4.3,7,1,,,20.0,1.0,170,0,NO,Plantel Oficial,402.814
L004,4.7,1,29,2022-2S,2022-2S,NUMERO DE CEDULA,MUJER,22,2.0,4.2,4.2,8,2,,,20.0,1.0,170,0,NO,Plantel Oficial,479.402
L003,20.6,1,29,2022-2S,2022-2S,TARJETA IDENTIDAD,MUJER,19,4.0,4.0,4.0,7,1,,,20.0,1.0,170,0,NO,Plantel Oficial,411.662
L002,18.1,1,29,2022-2S,2022-2S,TARJETA IDENTIDAD,HOMBRE,18,4.0,4.2,4.2,3,1,,,20.0,238.0,170,0,NO,Plantel Oficial,453.107
L002,12.9,1,29,2022-2S,2022-2S,TARJETA IDENTIDAD,HOMBRE,19,4.0,3.5,3.5,3,1,,,20.0,1.0,170,0,NO,Plantel Oficial,402.476
L004,22.0,1,29,2022-2S,2022-2S,NUMERO DE CEDULA,HOMBRE,25,4.0,4.1,4.2,7,1,20.0,1.0,25.0,175.0,170,0,NO,Plantel Oficial,489.982
L004,7.3,1,1,2023-1S,2023-1S,NUMERO DE CEDULA,HOMBRE,19,3.0,4.0,4.0,1,1,,,20.0,443.0,170,0,NO,Plantel Oficial,521.393
L002,14.2,1,24,2023-1S,2023-1S,NUMERO DE CEDULA,HOMBRE,22,3.0,3.9,3.9,11,2,,,20.0,13.0,170,1,NO,Plantel Privado,467.645
L004,10.7,1,24,2023-1S,2023-1S,NUMERO DE CEDULA,MUJER,19,3.0,3.6,3.6,4,1,,,20.0,750.0,170,1,NO,Plantel Oficial,473.498
L003,11.3,1,1,2023-1S,2023-1S,NUMERO DE CEDULA,HOMBRE,26,3.0,4.4,4.4,32,3,,,20.0,1.0,170,0,NO,Plantel Privado,485.525
L003,11.3,1,24,2023-1S,2023-1S,TARJETA IDENTIDAD,HOMBRE,17,3.0,4.2,4.2,34,1,,,20.0,1.0,170,1,FISICA,Plantel Oficial,504.148
L001,8.9,1,1,2023-1S,2023-1S,TARJETA IDENTIDAD,MUJER,17,3.0,4.0,4.0,3,1,,,11.0,1.0,170,0,NO,Plantel Oficial,559.699
L006,11.0,1,1,2023-1S,2023-1S,NUMERO DE CEDULA,HOMBRE,19,3.0,4.3,4.3,9,2,,,20.0,1.0,170,0,NO,Plantel Oficial,557.867
L005,11.3,1,24,2023-1S,2023-1S,TARJETA IDENTIDAD,HOMBRE,18,3.0,4.2,4.2,4,1,,,50.0,1.0,170,1,NO,Plantel Oficial,546.974
L002,9.0,1,24,2023-1S,2023-1S,NUMERO DE CEDULA,HOMBRE,21,3.0,4.1,4.1,11,1,,,20.0,1.0,170,1,NO,Nocturno,478.693
L006,11.0,1,1,2023-1S,2023-1S,TARJETA IDENTIDAD,HOMBRE,16,3.0,4.6,4.6,21,2,20.0,1.0,20.0,1.0,170,0,NO,Plantel Oficial,689.648
L003,9.2,1,24,2023-1S,2023-1S,NUMERO DE CEDULA,MUJER,19,3.0,3.7,3.7,2,1,,,20.0,1.0,170,1,NO,Plantel Oficial,412.35
L002,5.8,1,1,2023-1S,2023-1S,NUMERO DE CEDULA,HOMBRE,22,3.0,3.4,3.4,17,1,,,11.0,1.0,170,0,NO,Plantel Oficial,588.914
L004,9.3,1,21,2023-1S,2023-1S,TARJETA IDENTIDAD,MUJER,18,3.0,3.8,3.8,38,1,,,20.0,238.0,170,0,NO,Plantel Oficial,471.011
L004,14.0,1,24,2023-1S,2023-1S,NUMERO DE CEDULA,HOMBRE,20,3.0,4.3,4.3,4,0,,,20.0,1.0,170,1,NO,Plantel Oficial,606.108
L005,4.0,1,1,2023-2S,2023-2S,NUMERO DE CEDULA,MUJER,19,2.0,4.3,4.3,14,1,,,20.0,1.0,170,0,NO,Plantel Privado,548.17
L005,0.0,1,21,2024-1S,2024-1S,TARJETA IDENTIDAD,MUJER,16,,,,55,7,,,20.0,1.0,170,0,NO,Plantel Oficial,516.721
L003,0.0,1,24,2024-1S,2024-1S,TARJETA IDENTIDAD,HOMBRE,18,,,,53,0,,,20.0,1.0,170,1,NO,Plantel Oficial,384.163
L004,0.0,1,24,2024-1S,2024-1S,TARJETA IDENTIDAD,HOMBRE,17,,,,48,1,,,20.0,1.0,170,1,NO,Plantel Oficial,438.182
L002,0.0,1,24,2024-1S,2024-1S,NUMERO DE CEDULA,HOMBRE,27,,,,34,1,,,20.0,621.0,170,1,NO,Plantel Oficial,362.855
L003,0.0,1,24,2024-1S,2024-1S,NUMERO DE CEDULA,HOMBRE,19,,,,2,1,,,47.0,58.0,170,1,NO,Plantel Oficial,388.002
L004,0.0,1,24,2024-1S,2024-1S,NUMERO DE CEDULA,MUJER,26,,,,29,7,,,20.0,1.0,170,1,NO,Plantel Oficial,426.535
L003,5.0,1,1,2023-2S,2023-2S,NUMERO DE CEDULA,HOMBRE,25,2.0,3.9,3.9,5,2,,,20.0,1.0,170,0,NO,Plantel Oficial,404.663
L002,4.5,1,3,2023-2S,2023-2S,NUMERO DE CEDULA,HOMBRE,22,2.0,3.7,3.7,7,0,,,20.0,1.0,170,0,NO,Plantel Oficial,420.494
L003,5.0,1,1,2023-2S,2023-2S,NUMERO DE CEDULA,HOMBRE,20,2.0,4.0,4.0,6,1,,,20.0,1.0,170,0,NO,Plantel Oficial,431.909
L003,5.0,1,24,2023-2S,2023-2S,NUMERO DE CEDULA,HOMBRE,23,2.0,3.8,3.8,2,1,,,47.0,58.0,170,1,NO,Plantel Oficial,468.435
L002,2.6,1,24,2023-2S,2023-2S,NUMERO DE CEDULA,HOMBRE,22,2.0,3.6,3.6,7,2,,,20.0,621.0,170,1,NO,Plantel Privado,482.525
L001,0.0,1,1,2024-1S,2024-1S,TARJETA IDENTIDAD,HOMBRE,17,,,,34,1,,,20.0,1.0,170,0,NO,Plantel Oficial,550.982
L006,0.0,1,24,2024-1S,2024-1S,TARJETA IDENTIDAD,HOMBRE,18,,,,38,1,,,68.0,1.0,170,1,NO,Plantel Oficial,593.247
L004,4.7,1,1,2023-2S,2023-2S,TARJETA IDENTIDAD,MUJER,18,2.0,3.8,3.8,8,1,44.0,650.0,44.0,650.0,170,0,NO,Plantel Oficial,533.098
L006,3.8,1,1,2023-2S,2023-2S,TARJETA IDENTIDAD,HOMBRE,17,2.0,4.2,4.2,50,2,,,68.0,276.0,170,0,NO,Plantel Privado,554.301
L001,3.9,1,24,2023-2S,2023-2S,NUMERO DE CEDULA,MUJER,18,2.0,4.3,4.3,36,1,,,20.0,178.0,170,1,NO,Plantel Oficial,539.57
L006,3.8,1,1,2023-2S,2023-2S,TARJETA IDENTIDAD,MUJER,18,2.0,3.4,3.4,5,1,,,20.0,1.0,170,0,NO,Nocturno,552.725
L006,3.8,1,1,2023-2S,2023-2S,TARJETA IDENTIDAD,HOMBRE,17,2.0,4.0,4.0,22,1,,,20.0,1.0,170,0,NO,Plantel Oficial,533.89
L005,0.0,1,1,2024-1S,2024-1S,TARJETA IDENTIDAD,MUJER,17,,,,12,2,,,20.0,1.0,170,0,NO,Plantel Oficial,471.543
L006,0.0,1,1,2024-1S,2024-1S,TARJETA IDENTIDAD,HOMBRE,18,,,,28,2,,,20.0,1.0,170,0,NO,Plantel Oficial,545.766
L006,75.3,1,29,2019-2S,2019-2S,NUMERO DE CEDULA,HOMBRE,21,10.0,4.3,4.3,3,1,20.0,1.0,20.0,1.0,170,0,NO,Plantel Oficial,
